pattern,length,text
사진=뒤,38,사진=뉴시스 취재문의 sportal@sportalkorea.co.kr
사진=뒤,153,사진=뉴시스 [STN뉴스] 반진혁 기자 | LG 트윈스가 안방 복귀 후 우승 세리머니를 진행했다. LG 트윈스는 지난 10월 31일 대전 한화생명볼파크에서 치러진 한화 이글스와의 2025 신한 쏠뱅크 KBO 포스트시즌 한국시리즈 5차전에서 4-1로 승리했다. LG는 한국시리
사진=뒤,153,사진=김동윤 기자 LG 선수단이 1일 서울 잠실야구장에서 열린 2025년 한국시리즈 우승 기념 '한국시리즈 통합우승 IN 잠실' 행사에서 우승 세리머니를 하고 있다. /사진=LG 트윈스 제공 통산 4번째 한국시리즈 우승을 차지한 LG 트윈스 선수단이 팬들과 함께한 축승회를 
사진=뒤,153,사진=김동윤 기자 LG 김진성(가운데 흰색 티)이 1일 서울 잠실야구장에서 열린 2025년 한국시리즈 우승 기념 '한국시리즈 통합우승 IN 잠실' 행사에서 팬들에게 둘러싸여 팬서비스를 하고 있다. /사진=김동윤 기자 예정된 일정은 오후 5시 관중 입장부터 오후 6시 30분에
사진=뒤,153,"사진=LG 트윈스 제공 LG 선수단이 1일 서울 잠실야구장에서 열린 2025년 한국시리즈 우승 기념 '한국시리즈 통합우승 IN 잠실' 행사에서 우승 세리머니를 하고 있다. /사진=LG 트윈스 제공 박해민은 ""한국시리즈 2차전 시작하기 전에 마지막 홈경기가 될 수 있으니 잘하"
사진=뒤,153,"사진=김동윤 기자 선수들이 더 신난 자체 청백전이었다. 당초 계획은 오후 7시 45분부터 오후 8시 30분까지 이닝 제한 없이 진행하기로 했으나, 선수들이 더 신나 8시 40분까지 4이닝 게임으로 마무리됐다. 임찬규 팀이 박해민 팀에 5-4로 승리한 가운데, 투·타에서 임찬"
사진=뒤,9,사진=김동윤 기자
사진=뒤,46,사진=KIA 타이거즈 제공 취재문의 sportal@sportalkorea.co.kr
사진=뒤,153,사진=한화) [더게이트] 미국 야구 통계분석 사이트 팬그래프가 올 시즌 KBO리그를 평정한 외국인 선수들의 메이저리그 복귀 가능성을 평가했다. 31일(한국시간) 팬그래프는 '아시아 리그 선수 스카우팅'이라는 제목의 기사를 통해 한화 이글스의 괴물 에이스 코디 폰세를 비롯한 
사진=뒤,153,"사진=SSG) SSG 랜더스의 에이스 드류 앤더슨에 대해서도 긍정적인 평가가 나왔다. 팬그래프는 앤더슨의 FV를 45로 책정했다. ""2025년 가장 주목할 만한 성적을 냈다. 95마일 이상의 구속을 1년 내내 유지했고 KBO리그 타자 245명을 삼진으로 돌려 세우면서 볼넷은"
