press,title,len_before,len_after,reduction_pct
마이데일리,"'주니어리그 백호 2연패 달성!' 대치중 박철홍 감독 ""똘똘 뭉쳐서 좋은",2097,2072,1.19
마이데일리,"“위트컴 아름답다, 왼손투수에게 잘 칠 수밖에 없는 폼” 이대호 극찬…미",1430,1173,17.97
마이데일리,“김태형 감독님은 그런 거 약간…” 박세웅 대전 0승 징크스 내년엔 과연,1752,1552,11.42
마이데일리,"'KKKKK' 한화 2라운드 신인 72구 투혼, 문동주보다 많이 던졌다…",1216,1120,7.89
마이데일리,"'매직넘버 3' 이번주 우승이 보인다! 염경엽 감독 ""귀중한 1승 만든 ",1998,1727,13.56
OSEN,"패패패패패패승승 대반전! 158km 국대 에이스, 어떻게 무너트렸나 “박",2047,1870,8.65
OSEN,"김하성 충격 부상→유격수 김도영? ""WBC가 실험하는 무대는 아냐"" 본인",1575,1380,12.38
OSEN,'만루포-투런포-투런포' 트레이드 주인공 결승 홈런…감독의 칭찬 “초구부,1910,1706,10.68
OSEN,"투수만 9명 뽑은 삼성, ""강한 공 던지는 신체 조건 좋은 투수 지명 목",1943,1787,8.03
OSEN,"취사병 복무→22세 신인왕→다음 목표가 MVP라니, 원대한 꿈 이유 있었",3765,3512,6.72
엑스포츠뉴스,"'코치'로 새 출발 '국민거포', 김민재 코치 애도 메시지…""유가족께 위",1601,1541,3.75
엑스포츠뉴스,"한화, LG에 1경기 차로 쫓긴다…KIA '이적생 듀오' 김시훈 2⅓이닝",2035,2022,0.64
엑스포츠뉴스,"""한화전 2연패 우리가 못해서 졌다"" 자책한 사령탑, 잠도 못 잤다→""보",1392,1357,2.51
엑스포츠뉴스,"한화도 슬퍼했다 ""韓 야구 최초 올림픽 금메달""→김민재 코치 별세 추모…",2888,2817,2.46
엑스포츠뉴스,"한화 타선 'KKKKKKKK' 잡고 ""바보 같아, 멍청한 짓 했어"" 왜?",1776,1737,2.2
스포츠조선,"'모두가 사랑했다' 비운의 흥부자, 전격 KBO 복귀 선언...진실은?",1322,1322,0.0
스포츠조선,"""속상해, 큰 부상 아니길"" KIA 왜 6연승에도 웃지 못했나…'천만다행",1667,1490,10.62
스포츠조선,"통산 6경기 출전이 전부, 안타 1개도 못친 선수 목표가 ""40홈런"" 이",1384,1359,1.81
스포츠조선,"9회 만루홈런 대역전극! 박진만 삼성 감독, 홈런 보다 '볼넷' 칭찬한 ",1099,909,17.29
스포츠조선,"고물가 시대, 1만달러는 팁인가...90만도, 100만도 아니고 91만 ",1201,1196,0.42
마니아타임즈,"'주중 3연전 싹쓸이' KT, KIA 잡고 선두 질주...소형준 5이닝 ",673,673,0.0
마니아타임즈,"야구대표팀 뜨거운 타격감...류지현 감독 ""아직 꼭대기 아니다""",650,624,4.0
마니아타임즈,"SSG 에이스 김광현, 왼쪽 어깨 통증으로 미국 스프링캠프 중 귀국…복귀",344,335,2.62
마니아타임즈,"9회 포크볼 고집이 부른 '참사'…최준용 선택이 문제였다, 손성빈 책임론",941,941,0.0
마니아타임즈,"'김도영급 활약' 키움 송성문, 25홈런-25도루 달성하며 WAR 8.3",1142,1123,1.66
KBS,삼성의 ‘명품 선발 야구’…업셋에도 박진만은 반성?,1075,904,15.91
KBS,"KBO, ‘울산프로야구단’ 퓨처스리그 참가 승인",246,238,3.25
KBS,"“할 수 있다!” 도쿄의 기적이 안긴 감동, 이젠 4강 신화 재현!",862,721,16.36
KBS,"프로야구 롯데, 해외전훈지에서 불법 도박게임장 출입·성추행 논란…선수 네",920,770,16.3
KBS,"류현진의 마지막 WBC, “도미니카 나와라”",899,749,16.69
SBS,"프로야구 시범경기, 역대 최다 관중 신기록…44만 명 입장",541,539,0.37
